plant_name,plant_code,latitude,longitude,ac_capacity,dc_capacity,dc_loss_factor,temperature_coefficient,tracking,tracking_type,fixed_tilt,fixed_azimuth,axis_tilt,axis_azimuth,backtrack,max_rotation_angle,ground_coverage_ratio,Crystalline Silicon?,Thin-Film (CdTe)?,Operating_Month,Operating_Year
Cool Springs Solar (Hybrid),63721,30.747916,-84.680492,213,298,0.15,-0.35,Y,single_axis, ,180,0,180,True,60,0.35,Y,,12,2021
Twiggs Solar,61696,32.604997,-83.491239,204,261,0.15,-0.25,Y,single_axis,0,0,0,180,False,60,0.45,,Y,9,2020
Hickory Park Solar Hybrid,63522,31.269676,-84.176321,195.5,268.8,0.15,-0.35,Y,single_axis, , ,0,180,True,60,0.35,Y,,6,2022
Camilla Solar Energy Project,61785,31.26955,-84.228721,171.4,224,0.15,-0.35,Y,single_axis,60,0,0,180,True,60,0.35,Y,,2,2020
"SR DeSoto I, LLC",64841,31.886486,-84.021586,165,177.4,0.15,-0.25,Y,single_axis,20,180,0,180,False,60,0.45,,Y,12,2022
Quitman Solar,62584,30.849005,-83.643279,150,225,0.15,-0.35,Y,single_axis, ,180,0,180,True,60,0.35,Y,,12,2019
Quitman II Solar,64335,30.86205,-83.65165,150,210,0.15,-0.35,Y,single_axis, ,180,0,180,True,60,0.35,Y,,12,2021
Taylor County Solar,59897,32.583056,-84.297222,148,180,0.15,-0.25,Y,single_axis, ,90,0,180,False,60,0.45,,Y,11,2016
Robins Air Force Base Solar,61648,32.681222,-83.616387,128,175,0.15,-0.35,Y,single_axis,20,0,0,180,True,60,0.35,Y,,4,2021
"Dougherty County Solar, LLC",62375,31.512003,-84.044499,120,174,0.15,-0.35,Y,single_axis,0,180,0,180,True,60,0.35,Y,,12,2019
SR Snipesville II,65376,31.708821,-82.715724,107,152,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,12,2021
"SR Clay, LLC",64838,31.544831,-84.900566,106,151.4,0.15,-0.25,Y,single_axis,20,180,0,180,False,60,0.45,,Y,12,2022
Butler Solar Project 103,59896,32.561944,-84.275833,104,141.5,0.15,-0.25,Y,single_axis, ,90,0,180,False,60,0.45,,Y,12,2016
